bioproject,biosample,sra,lat_start,lat_end,long_start,long_end,size_low,size_up,nitrate,Chlorophyll,oxy,Salinity,temperature,depth,coor1,coor2,size
PRJEB6609,SAMEA2732986,ERR1719470,32.9916,32.9913,-121.8536,-121.853,180,2000,0.342955,0.556552,210.07175,33.484813,15.594037,30,latitudeN=32.9916,longitudeE=-121.8536,(180-2000)
PRJEB6609,SAMEA2622104,ERR1719428,-13.0023,-12.9488,-95.9759,-96.0293,0.8,&gt;,4.590737,0.287892,200.233917,35.835267,25.2512,5,latitudeN=-13.0023,longitudeE=-95.9759,(0.8-&gt;)
PRJEB6609,SAMEA2619754,ERR1719303,39.5705,39.8625,17.4101,17.388,0.8,5,99999,0.228614,220.987333,38.116167,17.256933,30,latitudeN=39.5705,longitudeE=17.4101,(0.8-5)
PRJEB6609,SAMEA2623070,ERR1719230,31.5213,31.493,-158.9958,-159.0606,0.8,&gt;,-0.979589,0.057131,197.682417,35.181842,25.173925,5,latitudeN=31.5213,longitudeE=-158.9958,(0.8-&gt;)
PRJEB6609,SAMEA2622660,ERR1719463,-8.9971,-8.9721,-139.1963,-139.2742,0.8,&gt;,3.986359,0.166512,186.2407,35.3662,26.54413,5,latitudeN=-8.9971,longitudeE=-139.1963,(0.8-&gt;)
PRJEB6609,SAMEA2731859,ERR1719362,43.6904,43.691,-16.8544,-16.857,20,180,2.999226,0.238225,243.148,35.986042,14.28065,5,latitudeN=43.6904,longitudeE=-16.8544,(20-180)
PRJEB6609,SAMEA2732658,ERR1719336,6.3199,6.3168,-102.96,-102.9602,20,180,0.055451,0.033622,196.615333,33.342683,26.641475,5,latitudeN=6.3199,longitudeE=-102.96,(20-180)
PRJEB6609,SAMEA2623721,ERR1719366,33.061,32.9705,-66.5435,-66.531,0.8,&gt;,-0.960636,0.122914,213.260833,36.56745,20.12165,5,latitudeN=33.061,longitudeE=-66.5435,(0.8-&gt;)
PRJEB6609,SAMEA2657076,ERR1719481,2.0218,2.0361,-84.5652,-84.5565,20,180,1.072909,0.321279,203.11935,33.46018,27.61049,40,latitudeN=2.0218,longitudeE=-84.5652,(20-180)
PRJEB6609,SAMEA2656991,ERR1719279,-5.252,-5.2527,-85.2052,-85.213,5,20,11.688971,0.238224,205.992583,34.748175,24.943108,5,latitudeN=-5.252,longitudeE=-85.2052,(5-20)
PRJEB6609,SAMEA2622769,ERR1719448,-9.1504,-9.1552,-140.5216,-140.5284,0.8,&gt;,5.111856,0.286662,190.724,35.396729,26.518986,5,latitudeN=-9.1504,longitudeE=-140.5216,(0.8-&gt;)
PRJEB6609,SAMEA2621768,ERR1719223,-33.6895,-33.6703,-71.998,-71.9535,0.8,&gt;,99999,2.988957,273.51475,34.392308,16.760633,5,latitudeN=-33.6895,longitudeE=-71.998,(0.8-&gt;)
PRJEB6609,SAMEA2657023,ERR1719479,-25.8162,-25.8208,-111.7349,-111.7468,20,180,0.178539,0.138077,212.877257,35.874018,20.325407,180,latitudeN=-25.8162,longitudeE=-111.7349,(20-180)
PRJEB6609,SAMEA2623282,ERR1719294,14.2035,14.2017,-116.6261,-116.6336,0.8,&gt;,3.241307,0.290611,195.126917,33.884425,26.4091,5,latitudeN=14.2035,longitudeE=-116.6261,(0.8-&gt;)
PRJEB6609,SAMEA2621542,ERR1719272,-62.2231,-62.2658,-49.2139,-49.1658,0.8,&gt;,33.109231,0.540091,325.402987,34.319478,-0.78154,90,latitudeN=-62.2231,longitudeE=-49.2139,(0.8-&gt;)
PRJEB6609,SAMEA2623264,ERR1719257,17.0854,17.0612,-118.8913,-118.8987,0.8,&gt;,-1.145148,0.245841,201.216,34.52465,24.52735,5,latitudeN=17.0854,longitudeE=-118.8913,(0.8-&gt;)
PRJEB6609,SAMEA2657046,ERR1719302,-34.8986,-34.9631,18.03,18.0207,20,180,99999,0.410699,240.270333,99999,15.022117,5,latitudeN=-34.8986,longitudeE=18.03,(20-180)
PRJEB6609,SAMEA2622717,ERR1719256,-8.9068,-8.8951,-140.283,-140.3174,0.8,5,3.868407,0.319103,189.758333,35.359483,26.576175,5,latitudeN=-8.9068,longitudeE=-140.283,(0.8-5)
PRJEB6609,SAMEA2732214,ERR1719480,33.0007,32.9988,-121.8701,-121.869,5,20,0.132837,0.311832,226.108583,33.477367,17.593567,5,latitudeN=33.0007,longitudeE=-121.8701,(5-20)
PRJEB6609,SAMEA2619745,ERR1719224,39.8386,39.8401,17.4155,17.4152,0.8,5,99999,0.180911,220.927083,37.759667,17.041483,5,latitudeN=39.8386,longitudeE=17.4155,(0.8-5)
PRJEB6609,SAMEA2656971,ERR1719340,-20.3943,-20.392,-3.2085,-3.2158,20,180,0.168013,0.324315,215.650833,36.376225,19.776808,5,latitudeN=-20.3943,longitudeE=-3.2085,(20-180)
PRJEB6609,SAMEA2623961,ERR1719275,43.7056,43.8047,-16.8794,-16.8887,5,20,99999,99999,99999,99999,99999,25,latitudeN=43.7056,longitudeE=-16.8794,(5-20)
